20,8,530085,417866,11153,13694,15394,6490,5807,3801,0
20,35,3073637,349462,38980,64096,26440,12292,8442,7560,0
37,54,1054297,130283,34638,15311,5384,15927,10362,12252,0
43,35,549676,35393,3642,1985,5721,3350,1200,632,0
43,35,1242453,140928,43854,129882,115394,58996,26997,39170,51
43,35,633275,318017,187722,119278,45856,7609,5157,4674,51
43,35,171657,38958,24136,16967,10488,9188,1743,615,25
43,35,897921,15107,6816,19296,3608,2804,1407,878,25
43,35,287091,76780,84600,21782,27116,3585,4213,7156,25
84,60,442154,35876,5213,5235,3849,7562,1867,614,0
84,60,603865,178609,76318,18894,9411,22836,6967,5200,25
84,60,425976,21735,5885,7380,8857,6593,1592,480,25
84,60,947463,204127,69831,103231,65581,29203,14225,32752,25
84,60,1631081,58986,2326,2012,7382,7343,1933,407,51
100,54,67232,6245,1402,268,784,721,894,140,0
100,57,454541,99287,41064,15994,28322,13845,2330,1750,0
100,75,895125,31906,8763,8258,12490,7505,3567,1263,0
84,80,114614,76446,10728,15708,5405,3471,1938,976,0
66,64,2261791,1496670,67174,74518,62024,52374,10819,17422,0
64,69,1719594,124919,52437,42007,22726,17437,6220,6211,0
64,69,334542,508771,71753,49486,25214,39795,9783,4072,25
64,69,479435,442866,238129,250173,336119,178620,83895,6586,25
64,69,1588168,701895,24357,79530,121249,84202,20476,1366,25
64,69,635551,39726,1849,7373,3319,3548,820,730,25
48,43,2570692,167278,9147,4469,17007,11572,13041,3678,0
57,21,618731,309708,21063,7315,20418,19190,24670,3231,0
57,21,1104982,71850,36070,10016,8362,7578,2373,1265,25
57,21,319,358,228,233,210,142,54,32,25
57,21,1503025,65929,67156,18968,51443,53777,33259,12884,25
57,21,1249918,107451,69390,57456,19649,16784,7121,4968,26
57,21,2610534,190772,150612,102727,205205,219334,60658,29239,51
57,21,203511,75787,28846,75823,174574,73813,42440,17681,25
57,21,97621,7547,1752,5470,5719,6491,6281,4084,51
57,21,3,2,0,0,1,1,1,1,25
57,21,9,1,0,1,0,0,0,1,25
57,21,1047451,24310,5427,7093,1502,4653,950,2109,25
57,21,1803394,36183,3376,1744,4104,6634,1336,359,51
70,29,234275,42437,3302,4200,3667,3409,3237,637,0
64,10,1530528,279437,12026,40665,26404,20143,8942,5191,0
64,10,676218,40796,34101,28877,3504,19936,2472,3837,25
66,41,542148,39917,12165,10953,8759,4547,2238,929,0
66,41,62641,27657,10121,2809,6651,2537,746,370,25
84,75,1681757,21344,11155,13281,11582,7518,3115,496,0
90,100,90640,2538,2146,1136,930,534,246,186,0
100,100,78205,9906,1761,955,1683,1251,720,795,0
100,100,264822,20633,2925,15251,10793,4802,3037,2374,0
100,100,479002,63988,43722,49650,42308,21566,17465,9910,0
